brand,processor_brand,processor_name,proc_gn,ram,ram_type,ssd,hdd,graphic_card_gb,Price
4,0,4,9,16,2,0,500,6,156203
4,1,2,10,32,2,256,0,2,179886
5,1,6,9,32,2,512,0,2,179202
4,1,6,13,32,2,512,0,0,177674
3,0,0,13,32,0,0,500,4,204877
6,1,6,8,8,2,256,2000,8,160320
6,1,5,12,16,1,128,500,0,119930
0,0,4,9,32,0,256,0,4,193245
1,1,4,13,16,0,1024,2000,2,167370
4,0,0,13,8,0,1024,0,8,176571
3,1,4,13,8,1,128,1000,2,121846
0,2,1,10,4,0,256,0,2,96512
5,2,0,12,4,1,512,0,6,141609
0,1,4,11,16,2,256,2000,4,158184
0,2,5,13,4,0,1024,2000,0,113442
4,0,3,9,32,1,1024,0,6,216695
5,2,7,13,16,0,0,500,4,158863
0,1,7,12,8,2,1024,1000,4,148257
3,1,4,11,8,0,0,500,4,124407
3,0,2,10,32,2,1024,0,8,239061
6,1,6,8,4,0,1024,0,6,132689
5,0,5,9,16,1,512,1000,0,121781
5,2,2,8,16,2,0,500,6,154104
6,2,1,10,32,0,0,0,2,178846
0,0,2,12,4,2,1024,0,4,126655
5,0,4,12,16,2,0,2000,2,144628
3,1,5,10,32,1,1024,1000,6,227648
3,2,7,13,16,1,1024,2000,0,148108
4,0,6,10,8,1,256,2000,2,117227
5,2,7,9,16,1,0,2000,2,134178
0,0,2,11,16,2,128,0,8,179745
6,2,1,8,16,2,0,500,6,150996
6,1,6,8,4,0,512,2000,2,92079
0,2,3,12,4,0,512,500,6,141747
1,2,2,13,32,0,128,0,0,174857
2,2,7,12,4,1,128,0,2,112159
4,2,7,9,16,2,512,0,0,116034
6,2,4,10,16,2,512,2000,2,142655
5,1,7,8,4,0,0,2000,4,107036
4,0,5,9,4,0,256,0,8,139142
5,2,2,12,16,2,512,1000,8,194862
