brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,rating,Number of Ratings,Number of Reviews,Price
Acer,AMD,Ryzen 3,9,16.0,DDR4,0.0,0.0,MacOS,32,6,5,5000,500,158943
Asus,Apple,i3,11,16.0,DDR4,1024.0,0.0,Linux,32,2,4,5000,500,146365
Apple,Apple,i7,11,16.0,DDR3,512.0,2000.0,Linux,64,0,2,0,50,129692
Apple,AMD,Ryzen 3,9,4.0,DDR5,512.0,1000.0,MacOS,32,2,5,50,10,103145
Asus,Intel,M2,9,16.0,DDR3,1024.0,1000.0,MacOS,32,2,1,500,10,142288
Apple,Intel,Ryzen 3,12,16.0,DDR4,128.0,2000.0,Windows,32,2,3,50,100,146770
Acer,Apple,M1,10,32.0,DDR5,256.0,0.0,Windows,64,2,3,5000,0,177645
Dell,Apple,M1,9,32.0,DDR5,128.0,0.0,Windows,64,0,4,5000,500,159523
Asus,AMD,Ryzen 5,10,32.0,DDR5,1024.0,1000.0,MacOS,64,6,2,1000,500,226620
,Apple,i5,8,8.0,DDR5,512.0,1000.0,Linux,64,4,2,1000,500,120949
MSI,AMD,i7,11,8.0,DDR4,512.0,500.0,Linux,32,2,4,100,500,117163
HP,Apple,Ryzen 7,12,32.0,DDR5,0.0,500.0,MacOS,64,4,1,5000,100,200611
Apple,Apple,i5,11,4.0,DDR3,0.0,500.0,Windows,64,4,1,1000,20,113218
MSI,Apple,i7,12,4.0,DDR3,512.0,1000.0,Linux,32,2,2,100,10,110668
HP,Intel,Ryzen 3,8,32.0,DDR3,512.0,1000.0,Linux,64,8,2,500,20,225453
Dell,Intel,Ryzen 5,11,8.0,DDR4,0.0,1000.0,Windows,32,4,2,50,0,126959
Acer,Intel,i5,8,8.0,DDR5,0.0,0.0,Linux,64,8,1,500,0,141228
Acer,Apple,Ryzen 3,12,4.0,DDR3,128.0,2000.0,Windows,32,6,3,50,500,142682
Acer,AMD,i7,9,16.0,DDR3,512.0,1000.0,Linux,32,4,4,0,0,151968
MSI,AMD,i5,11,4.0,DDR3,512.0,0.0,Linux,32,0,4,500,20,86696
Dell,AMD,Ryzen 7,8,16.0,DDR5,1024.0,1000.0,Linux,32,6,5,0,10,173513
MSI,AMD,i5,13,8.0,DDR3,128.0,2000.0,Windows,64,6,5,50,100,161800
Apple,Intel,,11,8.0,DDR5,256.0,1000.0,Linux,32,8,3,5000,10,162326
MSI,Intel,M2,11,32.0,DDR5,256.0,0.0,Linux,32,2,2,5000,10,180243
Dell,Apple,M2,11,8.0,DDR5,256.0,1000.0,Linux,64,0,3,100,50,98229
Dell,Apple,i5,10,16.0,DDR4,0.0,1000.0,MacOS,32,0,5,500,10,116607
Apple,AMD,Ryzen 7,8,4.0,DDR4,256.0,1000.0,Linux,32,8,5,500,100,143718
Dell,Intel,Ryzen 5,8,32.0,DDR5,1024.0,500.0,Linux,64,8,4,100,50,234907
Dell,AMD,Ryzen 5,11,16.0,DDR5,0.0,1000.0,Windows,64,6,3,100,10,166122
Acer,Apple,M2,9,4.0,DDR4,0.0,0.0,Windows,64,8,1,1000,50,133836
Apple,Apple,Ryzen 3,11,4.0,DDR4,256.0,0.0,MacOS,32,2,5,5000,10,98876
Lenovo,AMD,i7,10,4.0,DDR5,0.0,0.0,Windows,32,6,4,1000,0,123803
Lenovo,Apple,Ryzen 3,12,,DDR4,128.0,1000.0,Windows,64,6,2,50,0,147629
Dell,AMD,Ryzen 5,10,4.0,DDR3,128.0,2000.0,Windows,64,6,3,5000,10,133686
Lenovo,Intel,i3,9,8.0,DDR5,256.0,0.0,MacOS,64,0,5,500,50,87342
Lenovo,AMD,i3,11,4.0,DDR5,1024.0,500.0,MacOS,32,0,1,100,100,96458
Dell,Intel,i5,8,4.0,DDR4,0.0,2000.0,Linux,32,6,5,100,0,127964
Lenovo,Intel,Ryzen 7,13,8.0,DDR3,512.0,0.0,Linux,64,2,1,5000,50,121324
MSI,Apple,M2,11,8.0,DDR4,256.0,1000.0,Windows,32,4,3,0,100,129931
HP,Apple,M1,9,16.0,DDR3,0.0,500.0,Linux,32,6,1,1000,50,153599
Apple,Apple,M1,8,4.0,DDR3,256.0,0.0,Linux,32,8,1,5000,10,133864
HP,AMD,M1,10,8.0,DDR5,256.0,500.0,MacOS,64,4,4,5000,0,125025
Dell,AMD,i5,12,16.0,DDR3,1024.0,2000.0,MacOS,64,0,3,0,0,145886
Acer,Apple,i3,12,16.0,DDR5,512.0,0.0,Linux,32,0,5,100,0,128430
Apple,AMD,Ryzen 5,11,8.0,DDR3,0.0,1000.0,Linux,64,4,2,500,10,128948
Dell,Apple,i5,10,4.0,DDR5,256.0,500.0,Linux,32,8,3,500,100,147009
Acer,AMD,M1,13,16.0,DDR3,256.0,0.0,Windows,32,0,3,0,100,125233
HP,Intel,,13,4.0,DDR4,0.0,2000.0,MacOS,64,0,2,1000,500,94593
Dell,Intel,M2,9,4.0,DDR3,256.0,2000.0,Linux,64,6,5,50,500,135721
Apple,Apple,Ryzen 3,12,16.0,DDR4,256.0,0.0,Linux,64,2,4,5000,0,138725
Apple,AMD,M1,10,8.0,DDR3,256.0,2000.0,Windows,32,8,5,500,500,167892
Asus,AMD,Ryzen 7,11,4.0,DDR3,128.0,500.0,MacOS,64,6,2,50,100,128924
MSI,Intel,M1,8,32.0,DDR5,128.0,500.0,Windows,32,2,5,5000,500,172560
Lenovo,Intel,Ryzen 3,11,8.0,DDR3,512.0,500.0,Windows,32,0,3,1000,500,102930
Acer,Apple,M1,11,16.0,DDR3,1024.0,500.0,Linux,32,2,4,0,0,149637
Asus,Intel,Ryzen 7,10,32.0,DDR3,0.0,2000.0,Windows,32,0,1,1000,100,167837
Lenovo,Apple,Ryzen 5,12,4.0,DDR4,1024.0,0.0,Windows,32,6,5,100,0,148898
Lenovo,Intel,i5,10,8.0,DDR5,1024.0,2000.0,Linux,64,0,1,1000,100,108701
Dell,Intel,Ryzen 7,8,32.0,DDR5,128.0,2000.0,MacOS,32,2,4,0,50,181417
Lenovo,AMD,Ryzen 3,10,8.0,DDR3,512.0,0.0,Linux,32,6,1,0,0,141197
MSI,Intel,i5,9,4.0,DDR3,1024.0,0.0,MacOS,64,2,5,1000,500,102493
Apple,Intel,i5,11,8.0,DDR4,1024.0,1000.0,Windows,32,2,2,5000,500,127285
Asus,Apple,Ryzen 3,12,32.0,DDR3,256.0,500.0,Windows,64,4,3,0,0,206591
Lenovo,Intel,M2,13,8.0,DDR5,0.0,0.0,Linux,32,0,3,100,500,99724
Dell,Apple,i3,8,16.0,DDR5,512.0,2000.0,Linux,64,0,1,50,20,116891
MSI,Intel,M1,13,16.0,DDR4,0.0,500.0,Linux,64,2,3,1000,0,143089
HP,Intel,Ryzen 7,11,32.0,DDR4,128.0,500.0,Windows,64,0,3,0,100,166004
Apple,Apple,Ryzen 3,10,8.0,DDR5,1024.0,2000.0,Windows,64,8,2,5000,50,174796
Apple,AMD,Ryzen 5,13,32.0,DDR4,,0.0,MacOS,64,0,1,5000,50,182716
Asus,Apple,i7,9,8.0,DDR3,0.0,500.0,Linux,32,6,2,5000,100,133000
Apple,Apple,Ryzen 3,10,4.0,DDR3,128.0,500.0,Windows,64,0,2,50,10,79926
Lenovo,Apple,M1,11,16.0,DDR4,256.0,500.0,MacOS,64,8,4,100,500,185440
Dell,AMD,M1,13,,DDR5,256.0,500.0,Linux,64,2,1,1000,0,108694
Apple,Intel,i5,8,8.0,DDR4,1024.0,500.0,Linux,32,0,2,0,50,95610
Apple,Apple,i5,13,4.0,DDR5,1024.0,2000.0,MacOS,64,6,5,50,100,162060
HP,Apple,Ryzen 3,13,32.0,DDR4,512.0,0.0,MacOS,32,8,3,100,50,242389
HP,AMD,i7,12,32.0,DDR4,0.0,0.0,MacOS,32,4,1,500,50,198681
Acer,Apple,M2,13,8.0,DDR4,1024.0,500.0,Windows,64,2,4,0,100,132396
MSI,Intel,Ryzen 3,11,16.0,DDR3,128.0,500.0,Linux,32,2,2,5000,20,134888
Lenovo,AMD,i7,8,32.0,DDR3,0.0,500.0,Linux,32,2,5,5000,50,169650
Apple,Intel,M2,11,16.0,DDR5,512.0,2000.0,MacOS,32,8,3,100,50,196435
Apple,Intel,i7,9,8.0,DDR4,256.0,2000.0,Windows,32,0,3,50,10,97390
Dell,AMD,M1,10,16.0,DDR3,512.0,1000.0,MacOS,32,0,5,5000,20,127417
Acer,Apple,M1,13,8.0,DDR4,0.0,,Windows,64,0,1,1000,10,101159
MSI,Intel,M1,12,4.0,DDR5,256.0,1000.0,Linux,32,0,3,50,100,90727
Acer,Intel,Ryzen 5,8,8.0,DDR3,128.0,1000.0,Linux,32,2,3,5000,500,102915
Asus,Intel,M1,12,4.0,DDR5,256.0,1000.0,Windows,32,4,3,1000,0,122582
MSI,Intel,Ryzen 7,12,8.0,DDR3,256.0,0.0,Linux,32,2,2,100,100,114402
Apple,AMD,i5,12,32.0,DDR4,128.0,1000.0,Linux,32,4,2,100,20,204528
Apple,AMD,i5,13,32.0,DDR5,1024.0,500.0,MacOS,64,4,3,50,500,222554
MSI,Intel,i7,8,16.0,DDR3,1024.0,2000.0,Windows,32,0,4,50,100,129742
Apple,Apple,i5,8,8.0,DDR3,256.0,500.0,Linux,32,6,3,1000,20,133971
Lenovo,Intel,i3,12,8.0,DDR4,256.0,2000.0,Linux,32,8,1,0,500,170275
MSI,Apple,M2,10,8.0,DDR5,512.0,0.0,Windows,64,6,4,50,10,145006
Acer,Intel,i7,13,16.0,DDR5,1024.0,0.0,Linux,64,4,1,5000,50,167601
MSI,Apple,i5,13,32.0,DDR5,128.0,500.0,Windows,64,6,5,0,100,223627
Apple,Intel,i3,11,8.0,DDR4,256.0,0.0,Windows,32,4,5,0,100,130672
Lenovo,Apple,M2,13,16.0,DDR3,256.0,2000.0,MacOS,32,2,2,0,500,153201
Lenovo,Intel,Ryzen 5,12,8.0,DDR3,512.0,0.0,Windows,32,2,2,100,50,118579
Asus,Intel,i5,9,4.0,DDR5,512.0,1000.0,MacOS,32,0,2,100,100,83304
Acer,Apple,i3,12,8.0,DDR3,512.0,1000.0,Linux,32,8,5,0,100,172988
HP,AMD,Ryzen 3,8,4.0,DDR5,0.0,,Windows,32,2,1,0,500,82587
HP,Apple,Ryzen 7,13,16.0,DDR4,128.0,500.0,MacOS,32,8,4,100,0,193175
MSI,AMD,Ryzen 3,13,16.0,DDR4,0.0,1000.0,Windows,32,0,2,1000,500,126654
Asus,Intel,i3,11,32.0,DDR4,256.0,2000.0,Linux,32,8,5,5000,500,244613
,Apple,i7,9,8.0,DDR5,512.0,500.0,MacOS,32,2,2,500,500,108905
MSI,Apple,M1,13,16.0,DDR3,512.0,0.0,MacOS,32,2,3,50,0,146959
Asus,Apple,M1,11,32.0,DDR4,512.0,500.0,MacOS,64,6,4,0,50,221845
Acer,AMD,M1,11,8.0,DDR5,1024.0,500.0,Linux,64,6,1,100,10,153848
Acer,AMD,M2,9,16.0,DDR5,128.0,500.0,MacOS,64,6,2,0,100,157300
Acer,Intel,i7,12,4.0,DDR4,,500.0,Linux,64,8,3,0,500,150151
Acer,AMD,M2,12,16.0,DDR4,128.0,0.0,Linux,32,2,3,0,100,137299
Acer,AMD,i5,12,4.0,DDR4,512.0,0.0,Windows,64,0,4,0,10,93388
Asus,Intel,M1,10,32.0,DDR3,,1000.0,Linux,64,4,5,1000,100,202699
Asus,Apple,Ryzen 3,12,32.0,DDR3,1024.0,1000.0,MacOS,64,2,5,50,10,203566
Lenovo,Apple,i7,9,8.0,DDR5,128.0,2000.0,MacOS,64,6,2,50,50,141569
HP,Intel,i7,10,8.0,DDR4,256.0,2000.0,Linux,64,6,2,100,50,148248
Apple,Apple,M1,12,8.0,DDR4,512.0,1000.0,Linux,32,8,5,1000,10,173054
Acer,AMD,Ryzen 3,10,32.0,DDR3,512.0,1000.0,Windows,64,6,1,1000,10,218100
Dell,Intel,Ryzen 5,9,4.0,DDR4,512.0,500.0,Windows,64,8,1,50,20,142304
Apple,Intel,i7,12,8.0,DDR5,512.0,1000.0,MacOS,32,0,3,100,0,108271
Asus,Intel,M1,8,8.0,DDR4,1024.0,2000.0,Linux,64,6,4,1000,0,152853
Dell,Apple,Ryzen 7,13,32.0,DDR3,1024.0,1000.0,MacOS,32,8,1,100,500,253538
Dell,Intel,i3,9,4.0,DDR5,128.0,500.0,Linux,32,6,2,50,100,120948
Dell,Intel,M2,11,16.0,DDR5,512.0,2000.0,MacOS,32,8,1,0,100,194180
Lenovo,Intel,i5,11,8.0,DDR4,1024.0,0.0,MacOS,32,2,4,5000,10,122631
Asus,Apple,i7,9,16.0,DDR5,256.0,1000.0,MacOS,64,8,2,5000,500,180286
Dell,AMD,Ryzen 7,11,16.0,DDR4,1024.0,0.0,Linux,64,4,4,5000,10,162779
Acer,Intel,Ryzen 7,9,8.0,DDR4,1024.0,2000.0,Windows,32,0,5,1000,0,109959
MSI,AMD,i7,8,32.0,DDR3,128.0,1000.0,Windows,64,2,4,100,500,172997
Dell,Apple,Ryzen 5,9,8.0,DDR5,1024.0,0.0,Linux,32,0,4,0,500,99095
Lenovo,Apple,i3,12,4.0,DDR4,256.0,1000.0,Windows,64,2,4,50,100,106880
Apple,Apple,i5,12,4.0,DDR4,512.0,0.0,MacOS,64,6,2,500,0,137985
Asus,Apple,i7,10,8.0,DDR4,0.0,0.0,Linux,32,8,4,5000,50,151204
Lenovo,AMD,M2,11,16.0,DDR5,128.0,2000.0,Linux,64,6,4,1000,0,174209
Dell,Intel,i5,13,4.0,DDR5,256.0,1000.0,Windows,32,0,3,1000,0,94988
Asus,Apple,Ryzen 3,11,4.0,DDR5,128.0,,Windows,32,0,2,100,10,81847
MSI,Apple,Ryzen 7,9,8.0,DDR4,512.0,1000.0,MacOS,64,2,4,50,100,113351
Dell,AMD,Ryzen 7,13,8.0,DDR5,1024.0,1000.0,Linux,64,0,1,5000,50,116851
Lenovo,AMD,i7,13,32.0,DDR4,1024.0,500.0,Windows,32,8,4,50,0,253118
HP,Apple,i7,11,8.0,DDR5,256.0,2000.0,Linux,32,0,1,1000,0,102363
Acer,Intel,M2,13,8.0,DDR5,512.0,1000.0,MacOS,64,6,5,1000,10,162441
Apple,Intel,Ryzen 3,13,4.0,DDR4,0.0,1000.0,MacOS,64,8,5,5000,500,158599
Lenovo,Apple,Ryzen 5,12,4.0,DDR5,0.0,1000.0,MacOS,64,0,2,5000,20,85710
Asus,AMD,i7,8,4.0,DDR4,1024.0,2000.0,Linux,64,4,2,100,100,122320
Dell,Apple,Ryzen 7,9,16.0,DDR5,512.0,2000.0,Linux,32,4,5,100,100,157502
Acer,Apple,i5,11,4.0,DDR5,512.0,,Linux,64,6,2,500,100,140389
Dell,AMD,i3,12,4.0,DDR5,256.0,2000.0,Linux,64,2,1,0,0,110961
Asus,Apple,M1,10,8.0,DDR5,0.0,500.0,Linux,32,2,1,100,0,105262
Dell,Apple,i5,13,32.0,DDR3,256.0,2000.0,MacOS,64,0,3,0,0,182844
HP,Apple,Ryzen 5,13,4.0,DDR4,128.0,500.0,MacOS,32,8,2,1000,500,153243
Acer,AMD,i3,11,32.0,DDR3,512.0,500.0,MacOS,32,2,2,500,20,186297
Acer,Intel,i5,8,4.0,DDR5,0.0,500.0,Windows,64,4,3,500,0,102291
Asus,Intel,i5,8,4.0,DDR5,256.0,0.0,MacOS,64,2,4,500,100,86500
Apple,AMD,Ryzen 3,11,32.0,DDR4,1024.0,2000.0,Linux,32,4,1,50,500,217697
HP,Intel,M1,11,8.0,DDR4,128.0,1000.0,MacOS,32,2,4,5000,100,114144
Lenovo,Apple,M2,12,4.0,DDR4,256.0,500.0,Windows,64,6,3,5000,10,139272
Dell,Intel,Ryzen 5,11,32.0,DDR4,1024.0,1000.0,Windows,32,8,2,1000,20,245926
MSI,Apple,Ryzen 7,10,4.0,DDR5,0.0,500.0,Windows,32,0,4,50,50,79296
Dell,Intel,Ryzen 3,12,16.0,DDR4,0.0,1000.0,Windows,32,4,2,50,0,155477
Dell,AMD,i3,13,16.0,DDR3,128.0,0.0,Windows,32,2,3,500,50,139586
Lenovo,Intel,M1,13,16.0,DDR4,1024.0,500.0,Linux,32,0,5,50,0,142593
Dell,Intel,Ryzen 7,13,16.0,DDR4,512.0,0.0,MacOS,32,4,2,1000,20,163370
HP,Intel,Ryzen 3,13,8.0,DDR3,0.0,0.0,Linux,32,4,4,1000,20,132206
,AMD,M1,9,16.0,DDR3,512.0,2000.0,Linux,64,6,4,50,100,174408
Acer,Intel,M2,10,32.0,DDR3,512.0,1000.0,Windows,32,2,3,5000,20,189052
Asus,AMD,Ryzen 5,12,4.0,DDR3,256.0,500.0,MacOS,64,0,4,1000,500,89783
Apple,Apple,i7,12,32.0,DDR4,256.0,0.0,MacOS,32,2,1,5000,500,186169
MSI,Intel,M2,13,16.0,DDR3,0.0,1000.0,MacOS,64,2,2,0,50,142085
Dell,AMD,i7,8,8.0,DDR5,512.0,2000.0,Windows,32,8,1,50,50,157695
Dell,AMD,i3,12,16.0,DDR4,256.0,1000.0,Linux,64,4,3,500,20,160548
Lenovo,Intel,i7,10,16.0,DDR5,1024.0,1000.0,MacOS,64,4,1,500,50,160545
Asus,Apple,Ryzen 3,11,8.0,DDR4,1024.0,2000.0,Linux,64,8,1,1000,500,179517
HP,AMD,i3,10,8.0,DDR4,1024.0,2000.0,MacOS,64,8,2,1000,0,174396
MSI,Intel,Ryzen 7,13,8.0,DDR5,1024.0,2000.0,MacOS,32,2,2,500,10,140706
Acer,Apple,M2,13,8.0,DDR3,512.0,0.0,MacOS,32,4,5,0,500,139096
HP,AMD,M2,9,8.0,DDR3,1024.0,1000.0,MacOS,32,0,1,500,100,100507
Asus,AMD,Ryzen 5,12,8.0,DDR5,512.0,2000.0,Windows,32,6,2,50,10,158549
Apple,Apple,i3,12,4.0,DDR3,0.0,1000.0,Windows,64,8,1,500,50,151066
Acer,Apple,Ryzen 7,12,16.0,DDR4,0.0,1000.0,Linux,32,0,1,100,100,120615
